Full_Date,Person,Transaction_Description,Category,Value,Total_Exp_Month_Counter,EOD_Balance
01-10-2025,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,20000
02-10-2025,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6000,14000
04-10-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-195.86,6195.86,13804.14
05-10-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-140.21,6336.07,13663.93
05-10-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-417,6753.07,13246.93
06-10-2025,Bhavesh (Intern/Fresher),Uber,Travel,-349.21,7102.28,12897.72
07-10-2025,Bhavesh (Intern/Fresher),Uber,Travel,-717.43,7819.71,12180.29
07-10-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-53.61,7873.32,12126.68
13-10-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-523.99,8397.31,11602.69
13-10-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-710.6,9107.91,10892.09
14-10-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-347.41,9455.32,10544.68
14-10-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-324.04,9779.36,10220.64
14-10-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-504.05,10283.41,9716.59
14-10-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-206.24,10489.65,9510.35
15-10-2025,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,10548.65,9451.35
16-10-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-236.19,10784.84,9215.16
17-10-2025,Bhavesh (Intern/Fresher),Amazon,Shopping,-82.82,10867.66,9132.34
17-10-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-654.36,11522.02,8477.98
19-10-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-334.48,11856.5,8143.5
20-10-2025,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,12306.5,7693.5
21-10-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-294.99,12601.49,7398.51
23-10-2025,Bhavesh (Intern/Fresher),Train Ticket,Travel,-94.49,12695.98,7304.02
24-10-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-167.15,12863.13,7136.87
24-10-2025,Bhavesh (Intern/Fresher),Train Ticket,Travel,-193.96,13057.09,6942.91
25-10-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-283.93,13341.02,6658.98
27-10-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-467.27,13808.29,6191.71
28-10-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-463.19,14271.48,5728.52
29-10-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-520.12,14791.6,5208.4
29-10-2025,Bhavesh (Intern/Fresher),Train Ticket,Travel,-198.49,14990.09,5009.91
31-10-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-293.55,15283.64,4716.36
01-11-2025,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,19716.36
02-11-2025,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6000,13716.36
03-11-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-310.51,6310.51,13405.85
04-11-2025,Bhavesh (Intern/Fresher),Uber,Travel,-711.81,7022.32,12694.04
05-11-2025,Bhavesh (Intern/Fresher),Amazon,Shopping,-227.12,7249.44,12466.92
05-11-2025,Bhavesh (Intern/Fresher),Uber,Travel,-95.74,7345.18,12371.18
05-11-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-269.76,7614.94,12101.42
06-11-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-242.58,7857.52,11858.84
07-11-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-469.18,8326.7,11389.66
15-11-2025,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,8385.7,11330.66
15-11-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-283.68,8669.38,11046.98
15-11-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-444.45,9113.83,10602.53
15-11-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-208.2,9322.03,10394.33
20-11-2025,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,9772.03,9944.33
20-11-2025,Bhavesh (Intern/Fresher),Amazon,Shopping,-656.34,10428.37,9287.99
22-11-2025,Bhavesh (Intern/Fresher),Amazon,Shopping,-136.96,10565.33,9151.03
22-11-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-261.94,10827.27,8889.09
23-11-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-83.17,10910.44,8805.92
26-11-2025,Bhavesh (Intern/Fresher),Uber,Travel,-93.98,11004.42,8711.94
27-11-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-96.89,11101.31,8615.05
27-11-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-171.5,11272.81,8443.55
27-11-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-398.23,11671.04,8045.32
29-11-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-572.59,12243.63,7472.73
29-11-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-251.56,12495.19,7221.17
30-11-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-673.9,13169.09,6547.27
30-11-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-72.58,13241.67,6474.69
01-12-2025,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,21474.69
02-12-2025,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6000,15474.69
02-12-2025,Bhavesh (Intern/Fresher),Uber,Travel,-199.43,6199.43,15275.26
03-12-2025,Bhavesh (Intern/Fresher),Amazon,Shopping,-280.17,6479.6,14995.09
06-12-2025,Bhavesh (Intern/Fresher),Uber,Travel,-118.56,6598.16,14876.53
08-12-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-690.96,7289.12,14185.57
10-12-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-373.28,7662.4,13812.29
10-12-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-246.62,7909.02,13565.67
11-12-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-177.99,8087.01,13387.68
15-12-2025,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,8146.01,13328.68
15-12-2025,Bhavesh (Intern/Fresher),Rapido,Travel,-521.42,8667.43,12807.26
15-12-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-283.11,8950.54,12524.15
17-12-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-231.23,9181.77,12292.92
20-12-2025,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,9631.77,11842.92
20-12-2025,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-147.66,9779.43,11695.26
20-12-2025,Bhavesh (Intern/Fresher),Uber,Travel,-272.23,10051.66,11423.03
20-12-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-139.21,10190.87,11283.82
22-12-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-309.82,10500.69,10974
25-12-2025,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-627.37,11128.06,10346.63
25-12-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-202.43,11330.49,10144.2
25-12-2025,Bhavesh (Intern/Fresher),Train Ticket,Travel,-305.18,11635.67,9839.02
28-12-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-79.81,11715.48,9759.21
29-12-2025,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-351.74,12067.22,9407.47
30-12-2025,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-286.28,12353.5,9121.19
31-12-2025,Bhavesh (Intern/Fresher),Myntra,Shopping,-369.07,12722.57,8752.12
31-12-2025,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-73.03,12795.6,8679.09
01-01-2026,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,23679.09
01-01-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-370.05,370.05,23309.04
02-01-2026,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6370.05,17309.04
